id,title,url,date_iso,year,abstract,source,doi,notes
143,Spaceflight Induces Specific Alterations in the Proteomes of Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290804/,1/1/2015,2015,Life in spaceflight demonstrates remarkable acclimation processes within the specialized habitats of vehicles subjected to the myriad of unique environmental issues associated with orbital trajectories. To examine the response processes that occur ...,html/json-ld,10.1089/ast.2014.1210,
144,The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/,1/21/2016,2016,"Our primary aim was to determine whether gravity has a direct role in establishing the auxin-mediated gravity-sensing system in primary roots. Major plant architectures have long been thought to be guided by gravity, including the directional growth ...",html/json-ld,10.1038/npjmgrav.2015.23,
145,Skewing in Arabidopsis roots involves disparate environmental signaling pathways,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286820/,2/1/2017,2017,"Skewing root patterns provide key insights into root growth strategies and mechanisms that produce root architectures. Roots exhibit skewing and waving when grown on a tilted, impenetrable surface. The genetics guiding these morphologies have been ...",html/json-ld,10.1186/s12870-017-0975-9,
146,"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/,5/31/2017,2017,"In this article we report the identification of T-DNA (transfer DNA) insertion sites within two different gene regions in the genome of an Arabidopsis mutant line, SALK_084889. The T-DNA positions are in the 3′ UTR (untranslated region) of DREB2A ...",html/json-ld,10.1016/j.dib.2017.05.047,
147,Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/,6/29/2017,2017,Experimentation on the International Space Station has reached the stage where repeated and nuanced transcriptome studies are beginning to illuminate the structural and metabolic differences between plants grown in space compared to plants on the ...,html/json-ld,10.1371/journal.pone.0180186,
148,Phenotypic characterization of an Arabidopsis T-DNA insertion line SALK_063500,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/,3/26/2018,2018,"In this article we report the identification of a homozygous lethal T-DNA (transfer DNA) line within the coding region of the At1G05290 gene in the genome of Arabidopsis thaliana (Arabidopsis) line, SALK_063500. The T-DNA insertion is found within ...",html/json-ld,10.1016/j.dib.2018.03.107,
149,Utilization of single‐image normalized difference vegetation index (SI‐NDVI) for early plant stress detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/,10/19/2018,2018,"An imaging system was refined to monitor the health of vegetation grown in controlled conditions using spectral reflectance patterns. To measure plant health, the single‐image normalized difference vegetation index (SI‐NDVI) compares leaf ...",html/json-ld,10.1002/aps3.1186,
150,Comparing RNA‐Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/,11/14/2018,2018,"The root apex is an important region involved in environmental sensing, but comprises a very small part of the root. Obtaining root apex transcriptomes is therefore challenging when the samples are limited. The feasibility of using tiny root ...",html/json-ld,10.1002/aps3.1197,
151,Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/,4/3/2019,2019,"Plants grown in spaceflight experience novel environmental signals, including those associated with microgravity and ionizing radiation. Spaceflight triggers a response involving transcriptional re-programming and altered cell morphology, though ...",html/json-ld,10.1038/s41526-019-0070-7,
152,Biomass Production of the EDEN ISS Space Greenhouse in Antarctica During the 2018 Experiment Phase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/,5/26/2020,2020,The EDEN ISS greenhouse is a space-analog test facility near the German Neumayer III station in Antarctica. The facility is part of the project of the same name and was designed and built starting from March 2015 and eventually deployed in ...,html/json-ld,10.3389/fpls.2020.00656,
153,Root Skewing-Associated Genes Impact the Spaceflight Response of Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/,3/4/2020,2020,"The observation that plant roots skew in microgravity recently refuted the long-held conviction that skewing was a gravity-dependent phenomenon. Further, spaceflight root skewing suggests that specific root morphologies and cell wall remodeling ...",html/json-ld,10.3389/fpls.2020.00239,
154,Articular cartilage and sternal fibrocartilage respond differently to extended microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/,2/18/2019,2019,"The effects of spaceflight on cartilaginous structure are largely unknown. To address this deficiency, articular cartilage (AC) and sternal cartilage (SC) from mice exposed to 30 days of microgravity on the BION-M1 craft were investigated for ...",html/json-ld,10.1038/s41526-019-0063-6,
155,Host-Microbe Interactions in Microgravity: Assessment and Implications,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/,5/26/2014,2014,"Spaceflight imposes several unique stresses on biological life that together can have a profound impact on the homeostasis between eukaryotes and their associated microbes. One such stressor, microgravity, has been shown to alter host-microbe ...",html/json-ld,10.3390/life4020250,
156,Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/,5/3/2016,2016,"Recent research has shown that the microbiota affects the biology of associated host epithelial tissues, including their circadian rhythms, although few data are available on how such influences shape the microarchitecture of the brush border. The ...",html/json-ld,10.1111/cmi.12602,
157,Symbiotic organs shaped by distinct modes of genome evolution in cephalopods,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/,1/11/2019,2019,"Animal–microbe associations are critical drivers of evolutionary innovation, yet the origin of specialized symbiotic organs remains largely unexplored. We analyzed the genome of Euprymna scolopes, a model cephalopod, and observed large-scale genomic ...",html/json-ld,10.1073/pnas.1817322116,
158,Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/,3/8/2021,2021,"Reduced gravity, or microgravity, can have a pronounced impact on the physiology of animals, but the effects on their associated microbiomes are not well understood. Here, the impact of modeled microgravity on the shedding of Gram-negative ...",html/json-ld,10.1038/s41526-021-00138-8,
159,Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/,4/21/2022,2022,"Coleoid cephalopods (squid, cuttlefish, octopus) have the largest nervous system among invertebrates that together with many lineage-specific morphological traits enables complex behaviors. The genomic basis underlying these innovations remains ...",html/json-ld,10.1038/s41467-022-29694-7,
160,Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/,8/18/2022,2022,"Spaceflight is a novel and profoundly stressful environment for life. One aspect of spaceflight, microgravity, has been shown to perturb animal physiology thereby posing numerous health risks, including dysregulation of normal developmental ...",html/json-ld,10.1186/s12866-022-02614-x,
161,In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(ε-caprolactone) scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/,1/19/2010,2010,Three-dimensionally woven poly(ε-caprolactone)(PCL) scaffolds were combined with adult human mesenchymal stem cells (hMSC) to engineer mechanically functional cartilage constructs in vitro. The specific objectives were to: (i) produce PCL scaffolds ...,html/json-ld,10.1016/j.biomaterials.2009.11.092,
162,Chondrogenesis and Mineralization During In Vitro Culture of Human Mesenchymal Stem Cells on Three-Dimensional Woven Scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/,9/3/2010,2010,Human mesenchymal stem cells (hMSCs) and three-dimensional (3D) woven poly(ɛ-caprolactone) (PCL) scaffolds are promising tools for skeletal tissue engineering. We hypothesized that in vitro culture duration and medium additives can individually and ...,html/json-ld,10.1089/ten.tea.2010.0190,
163,"Correction for Vangay et al., “Microbiome Metadata Standards: Report of the National Microbiome Data Collaborative’s Workshop and Follow-On Activities”",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,5/4/2021,2021,,html/json-ld,10.1128/mSystems.00273-21,
164,Spaceflight alters host-gut microbiota interactions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,8/29/2024,2024,"The ISS rodent habitat has provided crucial insights into the impact of spaceflight on mammals, inducing symptoms characteristic of liver disease, insulin resistance, osteopenia, and myopathy. Although these physiological responses can involve the ...",html/json-ld,10.1038/s41522-024-00545-1,
165,Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,5/4/2022,2022,"While studies have shown an increase in pathogenicity in several microbes during spaceflight and after exposure to simulated microgravity, the mechanisms underlying these changes in phenotype are not understood across different pathogens, ...",html/json-ld,10.1016/j.heliyon.2022.e09379,
166,Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,6/15/2023,2023,"A single strain from the family Paenibacillaceae was isolated from the wall behind the Waste Hygiene Compartment aboard the International Space Station (ISS) in April 2018, as part of the Microbial Tracking mission series. This strain was identified ...",html/json-ld,10.3389/fmicb.2023.1166013,
167,Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,6/1/2023,2023,"Several investigations on the microbial diversity and functional properties of the International Space Station (ISS) environment were carried out to understand the influence of spaceflight conditions on the microbial population. However, ...",html/json-ld,10.1186/s40168-023-01545-7,
168,Biocontrol in built environments to reduce pathogen exposure and infection risk,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,1/10/2024,2024,"The microbiome of the built environment comprises bacterial, archaeal, fungal, and viral communities associated with human-made structures. Even though most of these microbes are benign, antibiotic-resistant pathogens can colonize and emerge ...",html/json-ld,10.1093/ismejo/wrad024,
169,Release of extracellular purines from plant roots and effect on ion fluxes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/,11/1/2011,2011,"Extracellular purine nucleotides appear capable of regulating plant development, defence and stress responses by acting in part as agonists of plasma membrane calcium channels. Factors stimulating ATP release include wounding, osmotic stress and ...",html/json-ld,10.4161/psb.6.11.17014,
170,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,4/19/2025,2025,"Root gravitropism relies on gravity perception by the root cap and requires tightly regulated phytohormone signaling. Here, we isolate a rice mutant that displays root coiling in hydroponics but normal gravitropic growth in soil. We identify COILING ...",html/json-ld,10.1038/s41467-025-59047-z,
171,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,4/19/2025,2025,"Root gravitropism relies on gravity perception by the root cap and requires tightly regulated phytohormone signaling. Here, we isolate a rice mutant that displays root coiling in hydroponics but normal gravitropic growth in soil. We identify COILING ...",html/json-ld,10.1038/s41467-025-59047-z,
172,"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/,3/24/2014,2014,"This work documents a previously unreported plant-wide signaling system based on the rapid, long-distance transmission of Ca2+ waves. In the root these waves move through the cortical and endodermal cell layers at speeds of up to 400 µm/s, i.e., ...",html/json-ld,10.1073/pnas.1319955111,
173,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,4/19/2025,2025,"Root gravitropism relies on gravity perception by the root cap and requires tightly regulated phytohormone signaling. Here, we isolate a rice mutant that displays root coiling in hydroponics but normal gravitropic growth in soil. We identify COILING ...",html/json-ld,10.1038/s41467-025-59047-z,
174,Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/,11/5/2016,2016,"The highly restricted movement of amyloplasts in graviperceptive cells of zig-1 hypocotyls is overcome by wortmannin treatment, suggesting a physical association between amyloplasts and the vacuole. Key words: Amyloplasts, cytoskeleton, ...",html/json-ld,10.1093/jxb/erw418,
175,A ROS-Assisted Calcium Wave Dependent on the AtRBOHD NADPH Oxidase and TPC1 Cation Channel Propagates the Systemic Response to Salt Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/,6/3/2016,2016,Mathematical modeling coupled with direct measurement of Ca2+ and ROS dynamics suggest that ROS-assisted calcium-induced calcium release propagates stress-induced Ca2+ waves in plants.,html/json-ld,10.1104/pp.16.00215,
176,Vascular Bundles Mediate Systemic Reactive Oxygen Signaling during Light Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/,9/15/2020,2020,The reactive oxygen species wave propagates through vascular bundles during the systemic response of Arabidopsis (Arabidopsis thaliana) plants to excess light stress.,html/json-ld,10.1105/tpc.20.00453,
177,Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,8/15/2017,2017,"Calcium ions are predicted to be key signaling entities during biotic interactions, with calcium signaling forming an established part of the plant defense response to microbial elicitors and to wounding caused by chewing insects, eliciting systemic ...",html/json-ld,10.3791/56142,
178,"Orchestrating rapid long-distance signaling in plants with Ca2+, ROS and electrical signals",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,3/30/2017,2017,"Plants show a rapid systemic response to a wide range of environmental stresses, where the signals from the site of stimulus perception are transmitted to distal organs to elicit plant-wide responses. A wide range of signaling molecules are ...",html/json-ld,10.1111/tpj.13492,
179,"Glutathione triggers leaf-to-leaf, calcium-based plant defense signaling",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,2/24/2025,2025,"Animals rely on nervous systems to cope with environmental variability, whereas plants are characterized by lack of nervous system but still have evolved systemic communication systems through signaling molecules that trigger long-distance defense ...",html/json-ld,10.1038/s41467-025-57239-1,
180,Test of Arabidopsis Space Transcriptome: A Discovery Environment to Explore Multiple Plant Biology Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,3/4/2020,2020,"Recent advances in the routine access to space along with increasing opportunities to perform plant growth experiments on board the International Space Station have led to an ever-increasing body of transcriptomic, proteomic, and epigenomic data ...",html/json-ld,10.3389/fpls.2020.00147,
181,Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,7/20/2020,2020,"Ca2+ signaling is closely linked to the triggering of plant immune responses. We show that when the bacterial elicitor peptide flg22 is used to trigger immune responses in mutants missing tonoplast Ca2+ pumps, it causes disrupted Ca2+ signals that ...",html/json-ld,10.1073/pnas.2004183117,
182,The fast and the furious: rapid long-range signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/,1/7/2021,2021,"Plants possess a systemic signaling system whereby local stimuli can lead to rapid, plant-wide responses. In addition to the redistribution of chemical messengers that range from RNAs and peptides to hormones and metabolites, a communication system ...",html/json-ld,10.1093/plphys/kiaa098,
183,Rad-Bio-App: a discovery environment for biologists to explore spaceflight-related radiation exposures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,5/11/2021,2021,"In addition to microgravity, spaceflight simultaneously exposes biology to a suite of other stimuli. For example, in space, organisms experience ionizing radiation environments that significantly differ in both quality and quantity from those ...",html/json-ld,10.1038/s41526-021-00143-x,
184,The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/,8/16/2022,2022,"A plant’s oxygen supply can vary from normal (normoxia) to total depletion (anoxia). Tolerance to anoxia is relevant to wetland species, rice (Oryza sativa) cultivation, and submergence tolerance of crops. Decoding and transmitting calcium (Ca) ...",html/json-ld,10.1093/plphys/kiac375,
185,Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,3/20/2023,2023,"Spaceflight presents a multifaceted environment for plants, combining the effects on growth of many stressors and factors including altered gravity, the influence of experiment hardware, and increased radiation exposure. To help understand the plant ...",html/json-ld,10.1038/s41526-023-00247-6,
186,"Low-Dose, Ionizing Radiation and Age-Related Changes in Skeletal Microarchitecture",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,4/18/2012,2012,"Osteoporosis can profoundly affect the aged as a consequence of progressive bone loss; high-dose ionizing radiation can cause similar changes, although less is known about lower doses (≤100 cGy). We hypothesized that exposure to relatively low doses ...",html/json-ld,10.1155/2012/481983,
187,Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,6/1/2015,2015,"Exposure to ionizing radiation can cause rapid mineral loss and increase bone-resorbing osteoclasts within metabolically active, cancellous bone tissue leading to structural deficits. To better understand mechanisms involved in rapid, ...",html/json-ld,10.1089/jir.2014.0152,
188,Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,12/1/2016,2016,"Even with recent scientific advancements, challenges posed by limited resources and capabilities at the time of sample dissection continue to limit the collection of high quality tissues from experiments that can be conducted only infrequently and ...",html/json-ld,10.1371/journal.pone.0167391,
189,Single-cell RNA sequencing of the carotid artery and femoral artery of rats exposed to hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,1/21/2025,2025,"Prolonged spaceflight is known to cause vascular deconditioning and remodeling. Tail suspension, a widely used spaceflight analog, is reported to result in vascular remodeling of rats. However, little is known about the cellular atlas of the ...",html/json-ld,10.1007/s00018-024-05572-x,
190,Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,10/16/2017,2017,Spaceflight entails exposure to numerous environmental challenges with the potential to contribute to both musculoskeletal and vascular dysfunction. The purpose of this review is to describe current understanding of microgravity and radiation ...,html/json-ld,10.3390/ijms18102153,
191,Influence of Social Isolation During Prolonged Simulated Weightlessness by Hindlimb Unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,9/13/2019,2019,"The hindlimb unloading (HU) model has been used extensively to simulate the cephalad fluid shift and musculoskeletal disuse observed in spaceflight with its application expanding to study immune, cardiovascular and central nervous system responses, ...",html/json-ld,10.3389/fphys.2019.01147,
192,Validation of a New Rodent Experimental System to Investigate Consequences of Long Duration Space Habitation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,2/11/2020,2020,"Animal models are useful for exploring the health consequences of prolonged spaceflight. Capabilities were developed to perform experiments in low earth orbit with on-board sample recovery, thereby avoiding complications caused by return to Earth. ...",html/json-ld,10.1038/s41598-020-58898-4,
193,The role of alterations in mitochondrial dynamics and PGC-1α over-expression in fast muscle atrophy following hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/,2/4/2015,2015,The mechanisms triggering disuse muscle atrophy remain of debate. It is becoming evident that mitochondrial dysfunction may regulate pathways controlling muscle mass. We have recently shown that mitochondrial dysfunction plays a major role in disuse ...,html/json-ld,10.1113/jphysiol.2014.286740,
194,Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,7/6/2021,2021,"Isolation on Earth can alter physiology and signaling of organs systems, including the central nervous system. Although not in complete solitude, astronauts operate in an isolated environment during spaceflight. In this study, we determined the ...",html/json-ld,10.1038/s41526-021-00152-w,
195,An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/,12/1/2015,2015,"N6-threonylcarbamoyl-adenosine (t6A) is one of the few RNA modifications that is universally present in life. This modification occurs at high frequency at position 37 of most tRNAs that decode ANN codons, and stabilizes cognate anticodon–codon ...",html/json-ld,10.1261/rna.053934.115,
196,Novel organelles with elements of bacterial and eukaryotic secretion systems weaponize parasites of Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/,9/7/2017,2017,"The evolutionary success of parasitoid wasps, a highly diverse group of insects widely used in biocontrol, depends on a variety of life history strategies in conflict with those of their hosts [1]. Drosophila melanogaster is a natural host of ...",html/json-ld,10.1016/j.cub.2017.08.019,
197,A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/,2/12/2019,2019,"This study reports on a putative eicosanoid biosynthesis pathway in Drosophila melanogaster and challenges the currently held view that mechanistic routes to synthesize eicosanoid or eicosanoid-like biolipids do not exist in insects, since to date, ...",html/json-ld,10.1371/journal.pone.0211897,
198,Immune Suppressive Extracellular Vesicle Proteins of Leptopilina heterotoma Are Encoded in the Wasp Genome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/,11/1/2019,2019,"Leptopilina heterotoma are obligate parasitoid wasps that develop in the body of their Drosophila hosts. During oviposition, female wasps introduce venom into the larval hosts’ body cavity. The venom contains discrete, 300 nm-wide, mixed-strategy ...",html/json-ld,10.1534/g3.119.400349,
199,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,2/4/2020,2020,"While it has been shown that astronauts suffer immune disorders after spaceflight, the underlying causes are still poorly understood and there are many variables to consider when investigating the immune system in a complex environment. ...",html/json-ld,10.1038/s41526-019-0091-2,
200,A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host’s blood cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/,5/28/2021,2021,"The wasps Leptopilina heterotoma parasitize and ingest their Drosophila hosts. They produce extracellular vesicles (EVs) in the venom that are packed with proteins, some of which perform immune suppressive functions. EV interactions with blood cells ...",html/json-ld,10.1371/journal.ppat.1009615,
201,In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation–Polar–Cation Clip Motif in Knottin Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/,1/14/2023,2023,"As generalist parasitoid wasps, Leptopilina heterotoma are highly successful on many species of fruit flies of the genus Drosophila. The parasitoids produce specialized multi-strategy extracellular vesicle (EV)-like structures in their venom. ...",html/json-ld,10.3390/pathogens12010143,
202,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,12/16/2023,2023,"While fruit flies (Drosophila melanogaster) and humans exhibit immune system dysfunction in space, studies examining their immune systems’ interactions with natural parasites in space are lacking. Drosophila parasitoid wasps modify blood cell ...",html/json-ld,10.1016/j.isci.2023.108759,
203,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,12/16/2023,2023,"While fruit flies (Drosophila melanogaster) and humans exhibit immune system dysfunction in space, studies examining their immune systems’ interactions with natural parasites in space are lacking. Drosophila parasitoid wasps modify blood cell ...",html/json-ld,10.1016/j.isci.2023.108759,
204,Simultaneous Exposure of Cultured Human Lymphoblastic Cells to Simulated Microgravity and Radiation Increases Chromosome Aberrations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7555395/,9/10/2020,2020,"During space travel, humans are continuously exposed to two major environmental stresses, microgravity (μG) and space radiation. One of the fundamental questions is whether the two stressors are interactive. For over half a century, many studies ...",html/json-ld,10.3390/life10090187,
205,Genes Required for Survival in Microgravity Revealed by Genome-Wide Yeast Deletion Collections Cultured during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309212/,1/13/2015,2015,"Spaceflight is a unique environment with profound effects on biological systems including tissue redistribution and musculoskeletal stresses. However, the more subtle biological effects of spaceflight on cells and organisms are difficult to measure ...",html/json-ld,10.1155/2015/976458,
206,Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560652/,12/29/2017,2017,Baker’s yeast (Saccharomyces cerevisiae) has broad genetic homology to human cells. Although typically grown as 1-2mm diameter colonies under certain conditions yeast can form very large (10 + mm in diameter) or ‘giant’ colonies on agar. Giant yeast ...,html/json-ld,10.1007/s12217-017-9588-z,
207,Effects of Space Flight on Mouse Liver versus Kidney: Gene Pathway Analyses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6321533/,12/18/2018,2018,"Understanding genome wide, tissue-specific, and spaceflight-induced changes in gene expression is critical to develop effective countermeasures. Transcriptome analysis has been performed on diverse tissues harvested from animals flown in space, but ...",html/json-ld,10.3390/ijms19124106,
208,Cryptococcus albidus meningitis: A case report and literature review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040010/,4/25/2025,2025,"Central nervous system (CNS) infections caused by Cryptococcus albidus are rarely reported, but are often associated with high mortality rates. Clinical data on the appropriate use of liposomal-amphotericin B (liposomal-AmB) with cryptococcal ...",html/json-ld,10.1097/MD.0000000000042125,
209,Behavioral and multiomics analysis of 3D clinostat simulated microgravity effect in mice focusing on the central nervous system,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11833055/,2/17/2025,2025,"A study was conducted to evaluate the three-dimensional clinostat simulated microgravity effect on mouse models, focusing on the central nervous system. Eighteen mice were divided into three groups: control, survival box, and clinostat + survival ...",html/json-ld,10.1038/s41598-025-90212-y,
210,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9146534/,,,,,,fetch_failed
211,"The Effect of Different Concentrations of Epinephrine in Otoendoscopic Surgery on Surgical Field Clarity: A Double-Blind, Randomized Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11492218/,10/17/2024,2024,"At present, there is no consensus on the concentration of epinephrine/physiological saline for subcutaneous injection into external auditory canal (EAC) under general anesthesia in otoendoscopic surgery. A randomized controlled trial (RCT) research ...",html/json-ld,10.1177/19160216241288811,
212,From the international space station to the clinic: how prolonged unloading may disrupt lumbar spine stability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6339989/,9/28/2017,2017,"Prolonged microgravity exposure is associated with localized low back pain and an elevated risk of post-flight disc herniation. Although the mechanisms by which microgravity impairs the spine are unclear, they should be foundational for developing ...",html/json-ld,10.1016/j.spinee.2017.08.261,
213,Fifteen Days Microgravity Causes Growth in Calvaria of Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4110898/,6/20/2013,2013,"Bone remodeling may occur in spaceflight as a response to skeletal unloading and head-ward fluid shifts. While unloading causes significant loss of bone mass and density in legs of animals exposed to microgravity, increased blood and interstitial ...",html/json-ld,10.1016/j.bone.2013.06.009,
214,Altered Disc Compression in Children with Idiopathic Low Back Pain: An Upright MRI Backpack Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3947616/,2/1/2014,2014,This study is a repeated measures design to measure the lumbar spine’s response to common backpack loads in children with idiopathic low back pain (ILBP) using upright MRI. The purpose of this study is to analyze the lumbar spine’s response to ...,html/json-ld,10.1097/BRS.0000000000000114,
215,Spaceflight-Induced Bone Loss Alters Failure Mode and Reduces Bending Strength in Murine Spinal Segments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5477841/,8/31/2015,2015,"Intervertebral disc herniation rates are quadrupled in astronauts following spaceflight. While bending motions are main contributors to herniation, the effects of microgravity on the bending properties of spinal discs are unknown. Consequently, the ...",html/json-ld,10.1002/jor.23029,
